"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"10/02/2021","NY","Elmont","Under investigation","A 14-year-old girl died on 10/4/21 as a result of injuries sustained in a 10/2/21 house fire.","Female","14","Children (14 and under)","","N","1 & 2 family
","Not reported","https://www.liherald.com/stories/house-fire-in-elmont-leaves-one-dead,135216"
"09/29/2021","NY","Schoharie","Under investigation","A 74-year-old woman died in a house fire.","Female","74","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://dailygazette.com/2021/09/29/schoharie-fire-claims-one-home-total-loss/"
"09/27/2021","NY","Castle Hill","Under investigation","A 58-year-old man died in a house fire.","Male","58","Unknown","","N","1 & 2 family
","Not reported","https://bronx.news12.com/police-1-man-dead-following-two-alarm-fire-in-castle-hill"
"09/26/2021","NY","Copiague","Under investigation","A 67-year-old man died in a house fire.","Male","67","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://patch.com/new-york/lindenhurst/man-dies-copiague-house-fire-injuries-pd"
"09/25/2021","NY","Waverly","Under investigation","A 65-year-old woman and 50-year-old man died in a house fire.","Female","65","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","https://www.mytwintiers.com/news-cat/top-stories/two-people-killed-in-waverly-fire/"
"09/25/2021","NY","Waverly","Under investigation","A 65-year-old woman and 50-year-old man died in a house fire.","Male","50","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.mytwintiers.com/news-cat/top-stories/two-people-killed-in-waverly-fire/"
"09/19/2021","NY","East Glenville","Under investigation","An 86-year-old woman died in a house fire","Female","86","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://dailygazette.com/2021/09/19/fire-damages-east-glenville-home-sunday-two-firefighters-briefly-trapped/"
"09/08/2021","NY","Cheektowaga","Under investigation","A 70-year-old man died in a house fire.","Male","70","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wivb.com/news/local-news/erie-county/cheektowaga/70-year-old-dies-in-cheektowaga-fire/"
"09/06/2021","NY","Steuben","Under investigation","Two people died in a house fire.","Unknown","Unknown","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.uticaod.com/story/news/2021/09/07/two-people-died-following-early-morning-fire-steuben/5751396001/"
"09/06/2021","NY","Steuben","Under investigation","Two people died in a house fire.","Unknown","Unknown","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.uticaod.com/story/news/2021/09/07/two-people-died-following-early-morning-fire-steuben/5751396001/"
"09/01/2021","NY","Queens","Other equipment
","A 9-year-old boy died in an apartment fire.","Male","9","Children (14 and under)","","N","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/9-year-old-boy-killed-in-ozone-park-fire-10-others-rescued/3250580/"
"08/31/2021","NY","Buffalo","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","Not reported","Not reported","https://www.wkbw.com/news/local-news/man-found-dead-in-fire-on-goodyear-avenue"
"08/10/2021","NY","New York","Under investigation","One person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://sunnysidepost.com/one-dead-after-fire-rips-through-apartment-building-in-woodside-following-explosion"
"08/02/2021","NY","Rodman","Under investigation","A 66-year-old man died in a house fire.","Male","66","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wwnytv.com/2021/08/04/officials-release-name-man-found-dead-rodman-fire/"
"07/31/2021","NY","Kendall","Under investigation","A 73-year-old woman died in a house fire.","Female","73","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wkbw.com/news/local-news/73-year-old-woman-dies-in-orleans-county-house-fire"
"07/30/2021","NY","West Islip","Under investigation","A 61-year-old woman died in a house fire.","Female","61","Unknown","","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2021/07/31/west-islip-deadly-house-fire-suzanne-minervini/"
